機種名,thumbnail_image_url,sub_image_url,メーカー名,機械割,導入開始日,機種概要
パチスロルパン三世～イタリアの夢～,https://p-town.dmm.com/upload/machines/3560/image.jpg?t=1570097227,https://p-town.dmm.com/upload/machines/3560/image.jpg?t=1570097227,平和（メーカー公式サイト）  平和の掲載機種一覧,97.3% 〜 112.8%,2019/12/02(月),通常時は、ゲーム数消化やレア役がボーナス（AT）当選のメイン契機。ボーナスは2種類あり、34G継続するMAXボーナス中は1G連を抽選、15枚役ナビ5回のルパンボーナスは「極 銭形共闘」突入のチャンスとなる。1G連はすべてMAXボーナスなので、出玉の塊を短時間で作れる魅力的な仕様。純増約9.0枚/Gの圧倒的な速度と1G連の爽快感で、プレイヤーの心を盗む1台だ。
パチスロサラリーマン金太郎～MAX～,https://p-town.dmm.com/upload/machines/3559/image.jpg?t=1569998512,https://p-town.dmm.com/upload/machines/3559/image.jpg?t=1569998512,EXCITE（メーカー公式サイト）  EXCITEの掲載機種一覧,97.5% 〜 112.0%,2019/11/05(火),通常時はゲーム数消化とレア役で初当り「金太郎ルーレット」を目指すゲーム性。「金太郎ルーレット」では50%のガチ抽選が最大2回おこなわれ、成功1回以下ならボーナス、成功2回ならAT「金太郎チャンス」へ突入する。  AT「金太郎チャンス」は純増8枚/Gのベルナビ回数管理型で、消化中のレア役はナビ回数上乗せ確定。追加上乗せや特化ゾーン「スペース金太郎チャンス」など強力なトリガーが多数搭載されている。
パチスロ蒼穹のファフナーEXODUS,https://p-town.dmm.com/upload/machines/3531/image.jpg?t=1568369919,https://p-town.dmm.com/upload/machines/3531/image.jpg?t=1568369919,SANKYO（メーカー公式サイト）  SANKYOの掲載機種一覧,97.9% 〜 112.0%,2019/11/05(火),5号機で多くの支持を集めた『パチスロ蒼穹のファフナー』の後継機。通常時はCZやゲーム数消化からボーナスに当選し、ボーナス中の青7揃いなどでATを目指すゲーム性となっている。ATは差枚数管理型で、1Gあたりの純増は約2.7枚。多彩な特化ゾーンを搭載しており、ロング継続へのトリガーが数多く存在するのも魅力的だ。前作の注目ポイントであったV役モノは今作も健在で、玉がVに入賞すればアツい展開が訪れる!
パチスロ北斗の拳天昇,https://p-town.dmm.com/upload/machines/3539/image.jpg?t=1568976212,,サミー  サミーの掲載機種一覧,97.9% 〜 114.0%,2019/11/05(火),1Gあたりの純増約6.3枚、継続率約85%という抜群の瞬発力を秘めた高純増AT機。  通常時は世紀末ポイント1000pt到達or規定ゲーム数到達時の抽選でCZへ突入、CZ成功で激闘ボーナスに当選し、激闘ボーナスを突破できればAT「真・天昇ラッシュ」に突入する。  激闘ボーナスは通常時に貯める昇舞魂が多いほど勝利期待度がアップ。いかに激闘ボーナスを突破できるかがAT突入の最重要ポイントとなる。
闘魂継承アントニオ猪木という名のパチスロ機,https://p-town.dmm.com/upload/machines/3538/image.jpg?t=1567589433,https://p-town.dmm.com/upload/machines/3538/image.jpg?t=1567589433,オリンピア（メーカー公式サイト）  オリンピアの掲載機種一覧,97.6% 〜 114.9%,2019/10/21(月),猪木シリーズの最新作が6号機の舞台に参戦ダァー！  通常時はレア役やゲーム数消化などから突入する闘魂グランプリで3連勝すれば、ベルナビ回数管理型AT「闘魂チャンス」へ突入。AT確定後の炎超戦では勝利した分だけATをストック（最大7戦）、8戦目に勝利できればプレミアムフラグである「道」が発生するぞ。さまざまな場面で発生する「非常識」も強力なトリガーとなっており、ATの大量ストックに期待が持てる。
PYRAMIDEYE,https://p-town.dmm.com/upload/machines/3549/image.jpg?t=1568713329,https://p-town.dmm.com/upload/machines/3549/image.jpg?t=1568713329,大都技研（メーカー公式サイト）  大都技研の掲載機種一覧,100.4% 〜 110.3% ※ 完全攻略時,2019/10/21(月),設定は1と6の2段階。設定1でもボーナス確率は約1/40という、当たりやすさに特化した準完全告知のボーナスタイプ。通常時は演出が発生すればチャンス、基本的にボーナス当選時は当該〜2G間に告知が発生する。ボーナスはピラミッドボーナスとREGの2種類で、消化中は白フラッシュ発生時にいずれかのリールにBARを狙えばOK。難しい技術介入要素もなく、初心者のプレイヤーも気軽に遊ぶことができる。
S呪怨再誕AT,https://p-town.dmm.com/upload/machines/3518/image.jpg?t=1567672919,https://p-town.dmm.com/upload/machines/3518/image.jpg?t=1567672919,藤商事（メーカー公式サイト）  藤商事の掲載機種一覧,97.8% 〜 110.1%,2019/10/15(火),シリーズ初となる豪華キャストの実写映像を搭載した、新感覚のホラーパチスロ。通常時はチャンスゾーンなどから当選するボーナス（AT）中の抽選をクリアすることで、呪縛STに突入する。STは40G〜80G継続し、ゲーム数消化までにボーナスを引けばゲーム数が再セット。ST自体の純増は約1.3枚/Gと控えめなので、いかにボーナス（純増約4.0枚/G）とループさせられるかが大量出玉へのカギと言えるだろう。
カードバトルパチスロガンダムクロスオーバー,https://p-town.dmm.com/upload/machines/3533/image.jpg?t=1567155869,https://p-town.dmm.com/upload/machines/3533/image.jpg?t=1567155869,ビスティ（メーカー公式サイト）  ビスティの掲載機種一覧,97.3% 〜 108.6%,2019/10/07(月),宇宙世紀シリーズの豪華三作品がまとめて楽しめるカードバトル形式のAT機。  通常時は周期間でカードを強化して、周期到達時のバトルでボーナスやATを目指すゲーム性だ。  出玉増加のメインとなるAT「クロスオーバーラッシュ」は1セット30G+α、最大純増約4.3枚/G。バトル形式のセットタイプで、1〜5セットの継続期待度は約80%。6セット目のMAバトルを突破できれば引き戻し濃厚の覚醒ループに突入!?
タマどき！,https://p-town.dmm.com/upload/machines/3491/image.jpg?t=1561112937,https://p-town.dmm.com/upload/machines/3491/image.jpg?t=1561112937,JPS（メーカー公式サイト）  JPSの掲載機種一覧,97.2% 〜 105.6%,2019/10/07(月),コンサートホールグループでのみ打つことができるオリジナルパチスロが、この『タマどき！』。擬似ボーナスを搭載したAT機となっており、リール左右の花が光ればボーナス確定だ。ボーナス後の32G間はボーナスの引き戻しに期待でき、最大ループ率は約90%と大量出玉への期待が膨らむ仕様となっている。花の光り方で滞在モードを示唆しているので、ここにも注目しておこう。
ドラゴンホイール,https://p-town.dmm.com/upload/machines/3515/image.jpg?t=1565092801,https://p-town.dmm.com/upload/machines/3515/image.jpg?t=1565092801,コナミアミューズメント（メーカー公式サイト）  コナミアミューズメントの掲載機種一覧,98.0% 〜 108.1%,2019/10/07(月),通常時は、リプレイやレア役で獲得するポイントが規定に到達するとCZに突入。CZ中もポイントを獲得するほどボーナス期待度がアップする。  純増約5.1/Gのボーナスは自力＆テーブル管理型となっており、1回あたりの獲得枚数は約100枚〜300枚。ボーナス後に突入する可能性がある「龍神バトル」は最大88%でボーナスを引き戻すので、ロング継続させて大量出玉を掴み取ろう。
パチスロ南国娘2-30,https://p-town.dmm.com/upload/machines/3523/image.jpg?t=1565346058,https://p-town.dmm.com/upload/machines/3523/image.jpg?t=1565346058,アムテックス（メーカー公式サイト）  アムテックスの掲載機種一覧,97.7% 〜 113.0%,2019/10/07(月),基本的な仕様は25パイと共通で、レア役などを契機にボーナスに当選。BIGとSP BIG後は80Gもしくは150G継続の南国タイムへ移行し、出玉を減らさずに連チャンを目指すという流れだ。25パイとの違いは、ボーナスの最大ゲーム数が90Gに増えているため、ボーナスの最大獲得枚数が約540枚になっていること。継続重視の25パイと一撃重視の30パイというイメージなので、お気に入りで楽しもう。
パチスロ南国娘2,https://p-town.dmm.com/upload/machines/3522/image.jpg?t=1565345815,https://p-town.dmm.com/upload/machines/3522/image.jpg?t=1565345815,平和（メーカー公式サイト）  平和の掲載機種一覧,97.6% 〜 109.4%,2019/10/07(月),通常時は、おもにレア役を契機にボーナスに当選。ボーナスは1Gあたりの純増約6枚のATで、揃った絵柄によって継続ゲーム数が異なる。BIG（赤7）とSP BIG（青7）後は、80Gもしくは150G継続する南国タイムで連チャンを目指す仕様となっており、150G継続時の引き戻し率が最高約71%とかなり高いところも特徴だ。  ※30パイとはスペックが異なるので注意
キングリノ,https://p-town.dmm.com/upload/machines/3724/image.jpg?t=1686675215,,山佐  山佐の掲載機種一覧,掲載準備中,2019/09/17(火),-
スーパービンゴギャラクシー,https://p-town.dmm.com/upload/machines/3480/image.jpg?t=1560484631,https://p-town.dmm.com/upload/machines/3480/image.jpg?t=1560484631,ベルコ（メーカー公式サイト）  ベルコの掲載機種一覧,97.5% 〜 110.0%,2019/09/17(火),AT開始から完走までの時間が約36分とハイスピードなATを搭載した「スーパービンゴギャラクシー」。通常時は周期抽選（平均80G）で突入するCZを成功させることでATに当選。  純増約4.6枚/GのAT「BINGO CHANCE」は初回の50%を突破すれば、以降の継続率が80%と大幅にアップするため、上乗せできなくてもロング継続に期待できる。もちろんHooah！による一撃性も健在だ！
パチスロラブ嬢Ⅱ,https://p-town.dmm.com/upload/machines/3504/image.jpg?t=1562579832,https://p-town.dmm.com/upload/machines/3504/image.jpg?t=1562579832,オリンピア（メーカー公式サイト）  オリンピアの掲載機種一覧,97.5% 〜 112.0%,2019/09/17(火),前作の登場から6年…多くのプレイヤーが待ち望んでいた『ラブ嬢』の第2弾が登場。  通常時は周期抽選でCZやATを射止めるゲーム性で、周期抽選のパターンや回数によって期待度が大きく変化する。  ATはベルナビ回数管理+継続率抽選となっており、MAX継続率は破格の99%。継続率アップやナビ回数上乗せ、セット数の上乗せなど、華やかなトリガーがプレイヤーに極上のひとときを提供してくれる。
SLOT劇場版魔法少女まどか☆マギカ[新編]叛逆の物語,https://p-town.dmm.com/upload/machines/3487/image.jpg?t=1561966393,,メーシー（メーカー公式サイト）  メーシーの掲載機種一覧,97.3% 〜 111.5%,2019/09/02(月),差枚数管理型のAT機として、大人気シリーズの新作がついにお目見え。通常時はゲーム数消化、レア役、CZなどからボーナスを目指し、ボーナス中の抽選でATに突入させるのがメインの流れだ。ATは特化ゾーンからスタートし、初期差枚数を決定。消化中はレア役だけでなく、ベルの回数にも上乗せのチャンスがある。[新編]の名シーンを使用した強力な特化ゾーンで、出玉への期待感は抜群。描き下ろし映像満載の演出も必見だ。
パチスロTIGER&BUNNY,https://p-town.dmm.com/upload/machines/3501/image.jpg?t=1562062840,https://p-town.dmm.com/upload/machines/3501/image.jpg?t=1562062840,山佐（メーカー公式サイト）  山佐の掲載機種一覧,97.9% 〜 110.2%,2019/09/02(月),2011年に放送された大人気ヒーローアクションアニメが遂にパチスロ化。  擬似ボーナスとSTをループさせることで出玉増加を目指すゲーム性となっており、継続期待度は最大90%。2大トリガーである「ルナティックバトル」や「ジェイクバトル」に突入すれば、大量出玉はもう目の前だ！
OVER-SLOT「アインズ・ウール・ゴウン絶対支配者光臨｣,https://p-town.dmm.com/upload/machines/3494/image.jpg?t=1562217256,https://p-town.dmm.com/upload/machines/3494/image.jpg?t=1562217256,オーイズミ（メーカー公式サイト）  オーイズミの掲載機種一覧,97.8% 〜 110.1%,2019/08/19(月),大人気アニメ「オーバーロード」が待望のパチスロ化。通常時はレア役やゲーム数消化でボーナス（AT）を目指し、ボーナスからATに突入といった流れがメインのゲーム性だ。ATの純増は約2.8枚/G、小役のヒキが物を言うバトル型となっており、40G＋α内に対戦相手を倒すことで次セットへ継続する。バトル中や勝利時に獲得できる全6種類の特殊効果が、勝敗を左右するキーアイテムだ！
どき！すろ,https://p-town.dmm.com/upload/machines/3492/image.jpg?t=1561114477,https://p-town.dmm.com/upload/machines/3492/image.jpg?t=1561114477,JPS（メーカー公式サイト）  JPSの掲載機種一覧,97.2% 〜 105.6%,2019/08/19(月),最大ループ率約90%の超ドキドキモードを搭載した『どき！すろ』。通常時はハイビスカスが光ればボーナス確定というシンプルな仕様で、ボーナス後は32G以内が連チャンの大チャンスとなっている。連チャンはモードで管理されており、ハイビスカスの光り方で上位モード滞在を示唆。リール停止音変化やボーナス後のパネルフラッシュなど、設定示唆要素も満載だ。
花娘,https://p-town.dmm.com/upload/machines/3490/image.jpg?t=1561115153,https://p-town.dmm.com/upload/machines/3490/image.jpg?t=1561115153,JPS（メーカー公式サイト）  JPSの掲載機種一覧,97.2% 〜 105.6%,2019/08/19(月),ハイビスカスが光ればボーナスというシンプルな告知と、モードによって変化するゲーム数テーブルの奥深さ…多くのパチスロファンが納得できるゲーム性で登場する『花娘』。  出玉増加の軸となるボーナスはBIG・REGの2種類で、通常A〜超ドキドキという5つのモードでゲーム数テーブルとループ率が変化。天国以上に移行すれば32G以内のボーナス確定、最上位の超ドキドキモードは驚愕の約90%ループだ。
SシリウスR3-30,https://p-town.dmm.com/upload/machines/4098/image.jpg?t=1686675235,,ベルコ  ベルコの掲載機種一覧,掲載準備中,2019/08/12(月),-
パチスロあの日見た花の名前を僕達はまだ知らない。,https://p-town.dmm.com/upload/machines/3471/image.jpg?t=1559816292,https://p-town.dmm.com/upload/machines/3471/image.jpg?t=1559816292,サミー  サミーの掲載機種一覧,97.9% 〜 110.1%,2019/08/05(月),通常時はなかよしメーターMAXから突入するCZ（めんまチャンス）を成功させ、ATに突入させるのがメインのゲーム性。  ATは1セット20Gのセット数管理型で、消化中のKC（かくれんぼチャンス）に成功すれば、セット数上乗せやボーナスを獲得できる。ほかにも、最大40R継続（1Rベルナビ6回）するごめんまBONUSや、大量セット数上乗せに期待できるあの花フリーズなどが搭載されている。
パチスロ天元突破グレンラガン,https://p-town.dmm.com/upload/machines/3459/image.jpg?t=1557920970,https://p-town.dmm.com/upload/machines/3459/image.jpg?t=1557920970,七匠（メーカー公式サイト）  七匠の掲載機種一覧,97.5% 〜 111.1%,2019/08/05(月),純増約5枚/Gの擬似ボーナスが80%超で連チャンする「パチスロ 天元突破グレンラガン」。  ボーナス中は1G連、グレンラガンチャンスのゲーム数を上乗せする倍返しゾーンの抽選をおこない、終了後は継続システムの異なる連チャンゾーン（グレンラガンチャンスor謁見の間）で、ボーナスのループを目指す仕組みだ。  ボーナスの初当りが大量出玉のトリガーとなる明快さが魅力的な1台となっている。
ハイハイシオサイ,https://p-town.dmm.com/upload/machines/3468/image.jpg?t=1559285788,https://p-town.dmm.com/upload/machines/3468/image.jpg?t=1559285788,パイオニア（メーカー公式サイト）  パイオニアの掲載機種一覧,98% 〜 108%,2019/08/05(月),史上最光のハイビスカスというキャッチコピーのとおり、パイオニア史上もっともハイビスカスの光を堪能できるほどボーナス確率の高さに特化した1台。  おなじみのハイビスカス告知に、小役の入賞ラインでもボーナスを察知できる要素が加わったことで、新たなゲーム性が体感できる。  初代ハイハイシオサイ-30の小役取りこぼしなしを踏襲しているため、プレイヤーのテクニックを問わず楽しめるところもポイントだ。
バンバンクロス,https://p-town.dmm.com/upload/machines/3502/image.jpg?t=1562231746,https://p-town.dmm.com/upload/machines/3502/image.jpg?t=1562231746,サボハニ（メーカー公式サイト）  サボハニの掲載機種一覧,100.0% 〜 111.8% ※ 完全攻略時,2019/08/05(月),技術介入要素が超満載の上級者向けボーナスタイプ。ボーナスはBIG（最大259枚）とCB（最大112枚）の2種類があり、どちらもビタ押し必須の技術介入を駆使することで最大枚数を獲得できる。とくに、CBはビタ押しの頻度が高いので、力量次第で獲得枚数が大幅に変化。CB確率の高さに特化した設定CやC＋もあるので、目押しの精度がそのまま出玉に直結する緊張感を楽しみたいプレイヤーにおすすめだ。
BELLECITY,https://p-town.dmm.com/upload/machines/3493/image.jpg?t=1561114929,https://p-town.dmm.com/upload/machines/3493/image.jpg?t=1561114929,JPS（メーカー公式サイト）  JPSの掲載機種一覧,97.2% 〜 105.6%,2019/08/05(月),シティグループのオリジナルパチスロとして『BELLE CITY』が登場する。  リール左右の8（ハチ）が光ればボーナス（AT）確定。ボーナス後の32G間は連チャンに期待できるゾーンとなっており、期待度は滞在しているモードによって変化する。8が特殊な光り方をすれば上位モードに期待できるぞ。最上位の超ベルモードのループ率は約90%と高いため、突入すればロング継続も射程圏内だ。
麻雀格闘倶楽部参,https://p-town.dmm.com/upload/machines/3488/image.jpg?t=1560938397,https://p-town.dmm.com/upload/machines/3488/image.jpg?t=1560938397,コナミアミューズメント（メーカー公式サイト）  コナミアミューズメントの掲載機種一覧,97.9% 〜 110.2%,2019/08/05(月),通常時は基本的に周期抽選経由の対局で勝利すればATに突入。リプレイで手牌を進める従来の対局を継承しつつ、三人麻雀や押し順当てなど、新要素が多数追加されている。  ATは純増約5枚/Gの差枚数管理型で、初期枚数は対局勝利時の役（点数）と完全リンク。消化中の上乗せ確率も高く、終了後は引き戻しゾーン「真龍ロード」に突入する…という2段構えのシステムで、一撃大量出玉を目指すことが可能だ。
パチスロ鉄拳4,https://p-town.dmm.com/upload/machines/3458/image.jpg?t=1557920579,https://p-town.dmm.com/upload/machines/3458/image.jpg?t=1557920579,山佐（メーカー公式サイト）  山佐の掲載機種一覧,97.8% 〜 108.0%,2019/07/22(月),純増約4.0枚/Gの擬似ボーナス（BIGとREG）は、おもにCZの鉄拳チャンスを契機に当選。BIGは告知タイプの異なる3種類から選べ、演出成功でバトルボーナスに突入。バトルボーナスは小役のヒキが重要なガチバトル方式で、規定回数勝利すれば継続期待度約87%のデビルバトルボーナスへ昇格する。CZ、擬似ボーナス、バトルボーナスが織りなす「新・鉄拳コンボシステム」が、プレイヤーを勝利へ導く！
パチスロガールズ＆パンツァーG～これが私の戦車道です！～,https://p-town.dmm.com/upload/machines/3451/image.jpg?t=1557485687,https://p-town.dmm.com/upload/machines/3451/image.jpg?t=1557485687,オリンピア（メーカー公式サイト）  オリンピアの掲載機種一覧,97.7% 〜 110.1%,2019/07/08(月),ノンストップバトルAT「戦車道」を搭載し、パチスロにガルパンが帰ってくる。通常時はあんこうカウンターの減算などを経由して突入するCZのクリアが、AT当選のメイン契機。ATのゲーム性は前作とほぼ同様で、毎ゲームの抽選で対戦校の車輌をすべて撃破できれば次セットに継続する。多彩なアイテムを駆使して、ロング継続を掴み取ろう。  おなじみの一発逆転要素である10種類の「革命」も、もちろん健在だ！
SLOTWONDERAGENTS,https://p-town.dmm.com/upload/machines/3489/image.jpg?t=1561109873,https://p-town.dmm.com/upload/machines/3489/image.jpg?t=1561109873,JPS（メーカー公式サイト）  JPSの掲載機種一覧,97.2% 〜 105.6%,2019/07/08(月),九州の雄、ワンダーランドグループのオリジナルパチスロ。  複数のモードによって管理されたAT機で、リール左右のダブルハートが光ればボーナス（AT）確定。いつもと違う光り方なら上位モードのチャンスとなる。ボーナス終了後32G間は連チャンに期待ができるゾーンとなっており、最上位の超ドキドキモードならループ率は約90%と、大連チャンも十分可能な魅力たっぷりのスペックだ。
咲桜弁慶,https://p-town.dmm.com/upload/machines/3432/image.jpg?t=1554453681,https://p-town.dmm.com/upload/machines/3432/image.jpg?t=1554453681,ボーダー（メーカー公式サイト）  ボーダーの掲載機種一覧,97.17% 〜 110.36%,2019/06/17(月),弁慶シリーズ第3弾。BIG中は逆押しで顔目を1回止める簡単な技術介入成功で、最大の402枚を獲得可能だ。REG中に獲得枚数がアップする技術介入要素はないが、顔目が止まる回数や終了時に発生する桜フラッシュのパターンで設定を示唆している。通常時はリール左の祝ランプが点灯すればボーナス。リプレイの連続にアツくなれる刀狩り演出など、前作までとは一味違う楽しさが詰まっているぞ。
スーパードラゴン,https://p-town.dmm.com/upload/machines/3442/image.jpg?t=1555581845,https://p-town.dmm.com/upload/machines/3442/image.jpg?t=1555581845,ネット（メーカー公式サイト）  ネットの掲載機種一覧,97.7% 〜 107.5%,2019/06/17(月),ドラゴンシリーズの遺伝子を受け継ぎ、圧巻の一撃性とボーナスの連続性を備えた「スーパードラゴン」。  ハイビスカスが光るとボーナスという明快なゲーム性に加え、一撃最大1999枚の昇龍、ボーナスが約70%でループする龍宮ゾーンという2つの強力なトリガーを搭載。ドラゴンとハイビスカス、そして7セグという超豪華な見た目とともに、生まれ変わったドラゴンが6号機に新たな旋風を巻き起こす。
実況BINGO倶楽部,https://p-town.dmm.com/upload/machines/3426/image.jpg?t=1553676247,https://p-town.dmm.com/upload/machines/3426/image.jpg?t=1553676247,コナミアミューズメント（メーカー公式サイト）  コナミアミューズメントの掲載機種一覧,97.5% 〜 108.2%,2019/06/03(月),ビンゴ成立でボーナス（AT）という、シンプルな仕様も特徴的な1台。約1/80で突入するビンゴゲーム中は、リールに揃った小役の色に対応したマスが埋まっていき、一直線に埋まればビンゴ成立だ。ボーナスのラスト25Gは、成立役に応じて次のビンゴカードを作成。作ったカードで次のビンゴをおこない、再びボーナスを目指すのがおもな流れとなる。状況によって変化する、臨場感タップリの実況にも要注目だ。
超AT美ら沖,https://p-town.dmm.com/upload/machines/3441/image.jpg?t=1555580412,https://p-town.dmm.com/upload/machines/3441/image.jpg?t=1555580412,七匠（メーカー公式サイト）  七匠の掲載機種一覧,97.8% 〜 112.4%,2019/06/03(月),レア役やゲーム数消化からボーナスを目指す。ボーナス後は約50%〜約66%でストック放出モードへ移行し、基本的に111G以内に放出する。最大7個ストックでき、全ストック放出後は再び50%以上でストックを獲得。BIGの1G連が平均6回続く超1G連モードもあり、強力な連チャン性能が魅力だ。設定変更後は最速1Gでボーナスに当選するサービスタイム突入の可能性があるなど、寝起きのナミちゃんは超積極的！
天晴！モグモグ風林火山全国制覇版,https://p-town.dmm.com/upload/machines/3420/image.jpg?t=1553310309,https://p-town.dmm.com/upload/machines/3420/image.jpg?t=1553310309,ネット（メーカー公式サイト）  ネットの掲載機種一覧,97.8% 〜 106.3% ※ 完全攻略時,2019/05/20(月),本機は擬似ボーナスを搭載したAT機。通常時はレア役などを契機とする合戦での勝利、ゲーム数管理となる「日本地図ステージ」でモグー提督を撃退することで、全国制覇（ボーナス）を目指すゲーム性となっている。  ボーナス終了後に突入する32Gの天下泰平モードでの引き戻し期待度は86%！　初当り時の期待枚数は約1000枚と破壊力も抜群。  BIG中は4号機を彷彿させるリプレイハズシといった技術介入要素もアリ。
ハナビ通,https://p-town.dmm.com/upload/machines/3425/image.jpg?t=1553675965,https://p-town.dmm.com/upload/machines/3425/image.jpg?t=1553675965,アクロス（メーカー公式サイト）  アクロスの掲載機種一覧,97.8% 〜 110.9% ※ 完全攻略時,2019/05/20(月),今なおホールで高稼働を誇る「ハナビ」が“通”なスペックに進化。演出の法則やおおまかなゲームの流れは前作と同じだが、BIG確率が上がったことで出玉のボリュームがアップしている。BIG中だけでなく、REG中に獲得枚数アップの技術介入要素が加わったこともチェックしておきたいポイントだ。己の知識と経験をフルに活用して、素早くボーナスを察知しよう。
ぱちスロ冬のソナタ,https://p-town.dmm.com/upload/machines/3435/image.jpg?t=1554972160,https://p-town.dmm.com/upload/machines/3435/image.jpg?t=1554972160,京楽（メーカー公式サイト）  京楽の掲載機種一覧,98.6% 〜 107.2%,2019/05/20(月),パチンコでも大人気の「冬のソナタ」が、ボーナスメインのスペックでパチスロ化。ボーナスはBIG、MIDDLE、REGと3種類あり、いずれも簡単な手順で最大枚数を獲得できる。すべてのボーナス後はチャンスゾーンへ移行し、約50%で30G継続するRTに突入。RT後もチャンスゾーンへ移行するので、ループにも期待だ。パチンコでおなじみの演出も多く、冬ソナの世界観をパチスロでも存分に味わえる！
ジャングルマスターコングダム,https://p-town.dmm.com/upload/machines/3408/image.jpg?t=1551927846,https://p-town.dmm.com/upload/machines/3408/image.jpg?t=1551927846,山佐（メーカー公式サイト）  山佐の掲載機種一覧,97.3% 〜 108.5%,2019/05/07(火),テトラリールによる多彩な演出に加え、おなじみのナビ矛盾がさらに進化した「ジャングルマスターコングダム」がボーナス＋RTで登場。  ボーナスは最大300枚のBIGとRT貫通式のREGがあり、BIG後は20GのRT・ナイトモードに突入。滞在中に昇格リプレイを引ければ、100Gor999G継続のロングRT・ジャングルタイムに移行する。ボーナスとRTの連鎖からコング級の出玉を生み出すことも可能だ。
パチスロボンバーパワフルⅢ,https://p-town.dmm.com/upload/machines/3416/image.jpg?t=1552910621,https://p-town.dmm.com/upload/machines/3416/image.jpg?t=1552910621,SANKYO（メーカー公式サイト）  SANKYOの掲載機種一覧,97.7% 〜 112.1%,2019/05/07(火),ボンパワが、高ループ率のかっとび型AT機になって復活！  通常時はCZなどからボーナスを目指し、消化中の抽選に当選することでAT「パワフルタイム」に突入する。ATは1セット25G継続し、純増は約3.2枚/G。終了後に移行するCZ中にATを引き戻すことで、ロング継続を目指すゲーム性だ。セット数上乗せ分も含めた平均ループ率は約85%と高く、かっとび感のある爽快なATでパワフルの世界観を堪能しよう。
SLOTギャラガ,https://p-town.dmm.com/upload/machines/3406/image.jpg?t=1551783607,https://p-town.dmm.com/upload/machines/3406/image.jpg?t=1551783607,メーシー（メーカー公式サイト）  メーシーの掲載機種一覧,97.3% 〜 107.0%,2019/04/22(月),「SLOTギャラガ」は、ファミスロシリーズ初となる純増約4.0枚/GのAT機。BIG中に獲得したスコアが、終了後32G間のギャラガゾーンでの連チャン期待度に影響を与えるスコアリンクSTシステムを搭載している。最大ループ率は90%以上、ループ中のボーナスはすべてBIGとなるので、スピーディーな出玉増加が可能だ。夢中になったあの頃と同じように、パチスロで再び「ギャラガ」を楽しもう！
パチスロ黄門ちゃまV女神盛-MEGAMORI-,https://p-town.dmm.com/upload/machines/3367/image.jpg?t=1551429109,https://p-town.dmm.com/upload/machines/3367/image.jpg?t=1551429109,オリンピア（メーカー公式サイト）  オリンピアの掲載機種一覧,98.0% 〜 110.2%,2019/04/22(月),通常時は小役で2種類のカウンターを貯め、どちらかがMAXになればCZ・ATを抽選。ゲーム数当選もあるため、期待度の高いゾロ目ゲーム数を狙うのもアリだ。  AT初回は初期ゲーム数決定時に約50%で「家康再臨RETURNS」が選ばれるため超強力。レア役でCZを射止め、クリアすれば特化ゾーンor80%以上で継続するAT「テンプテーションゲーム」に突入するなど、消化中にも多彩なトリガーが搭載されている。
プレミアムハナハナ-30,https://p-town.dmm.com/upload/machines/3397/image.jpg?t=1551324736,https://p-town.dmm.com/upload/machines/3397/image.jpg?t=1551324736,パイオニア（メーカー公式サイト）  パイオニアの掲載機種一覧,96% 〜 112%,2019/04/22(月),パイオニアの5号機ラストを飾る「プレミアムハナハナ-30」。  歴代シリーズを網羅した全54曲のサウンドが搭載されており、ボーナスという嬉しい瞬間を懐かしい楽曲とともに味わえるのが最大の特徴と言えるだろう。  ハイビスカスの新たな点滅パターンやリール・下皿を照らすスポットライトなど、演出面も豪華さを増し、ハナハナシリーズの集大成を飾るにふさわしい1台となっている。
ゴーゴージャグラー2,https://p-town.dmm.com/upload/machines/3378/image.jpg?t=1550050500,https://p-town.dmm.com/upload/machines/3378/image.jpg?t=1550050500,北電子（メーカー公式サイト）  北電子の掲載機種一覧,97.0% 〜 106.5%,2019/04/08(月),豆電球のあたたかさを再現し、優しい輝きが人気の「ゴーゴージャグラー」が、新たな告知パターンやスペシャルボーナス音を搭載して進化。GOGO！ランプ点灯による告知タイミングは前作と同様に全リール停止後のみとなっており、ガコッ音も発生しない。スペック面は前作とほとんど変わっていないため、これまで通りの気分で楽しめるはずだ。
マイフラワー30,https://p-town.dmm.com/upload/machines/3377/image.jpg?t=1550049999,https://p-town.dmm.com/upload/machines/3377/image.jpg?t=1550049999,北電子（メーカー公式サイト）  北電子の掲載機種一覧,98.1% 〜 108.0%,2019/04/08(月),花が光ればボーナス（AT）確定というわかりやすい仕様で『マイフラワー30』が登場する。  通常時はおもにレア役で擬似ボーナスのBIGorREGを目指し、ボーナス終了後に突入するCZで引き戻しを目指すゲーム性だ。BIGには赤7・白7の2つがあり、後者なら連チャンの可能性大となるところもポイントだ。
